Country,,,lat,lng,type,measure,beds,population,year,source,source_url
MK,,,41.83,22,ACUTE,1000HAB,2.8619,2081996,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
MK,,,41.83,22,TOTAL,1000HAB,4.4,2076067,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
ML,,,17,-4,TOTAL,1000HAB,0.1,15049353,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MM,,,22,98,ICU,1000HAB,0.011,53380000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
MM,,,22,98,TOTAL,1000HAB,0.9,51413698,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MN,,,46,105,ICU,1000HAB,0.088,3114000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
MN,,,46,105,TOTAL,1000HAB,7,2824699,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MO,,,22.17,113.55,TOTAL,1000HAB,5.2953,246194,1970,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
MR,,,20,-12,TOTAL,1000HAB,0.4,3111906,2006,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MT,,,35.83,14.58,ACUTE,1000HAB,3.1752,467999,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
MT,,,35.83,14.58,TOTAL,1000HAB,4.7,434558,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MU,,,-20.28,57.55,TOTAL,1000HAB,3.4,1252404,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MV,,,3.25,73,TOTAL,1000HAB,4.3,353398,2009,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MW,,,-13.5,34,TOTAL,1000HAB,1.3,14962112,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MX,,,23,-102,ACUTE,1000HAB,1.38,124777324,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
MX,,,23,-102,PSYCHIATRIC,1000HAB,0.03,124777324,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
MX,,,23,-102,TOTAL,1000HAB,1.38,124777324,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
MY,,,2.5,112.5,ICU,1000HAB,0.034,31110000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
MY,,,2.5,112.5,TOTAL,1000HAB,1.9,30270962,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
MZ,,,-18.25,35,TOTAL,1000HAB,0.7,24187487,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
NE,,,16,8,TOTAL,1000HAB,0.3,20001663,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
NG,,,10,8,TOTAL,1000HAB,0.5,135320422,2004,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
NI,,,13,-85,TOTAL,1000HAB,0.9,6142733,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
NL,,,52.5,5.75,ACUTE,1000HAB,2.9214,17131296,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
NL,,,52.5,5.75,ICU,1000HAB,0.064,16660000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
NL,,,52.5,5.75,PSYCHIATRIC,1000HAB,0.91,17131296,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NL,,,52.5,5.75,TOTAL,1000HAB,3.32,17131296,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NO,,,62,10,ACUTE,1000HAB,3.2,5276968,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NO,,,62,10,ICU,1000HAB,0.08,5000000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
NO,,,62,10,PSYCHIATRIC,1000HAB,1.07,5276968,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NO,,,62,10,TOTAL,1000HAB,3.6,5276968,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NP,,,28,84,ICU,1000HAB,0.028,27630000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
NP,,,28,84,TOTAL,1000HAB,0.3,26989862,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
NR,,,-0.53,166.92,TOTAL,1000HAB,5,10005,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
NZ,,,-41,174,ACUTE,1000HAB,2.59,4841000,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NZ,,,-41,174,PSYCHIATRIC,1000HAB,0.3,4841000,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
NZ,,,-41,174,TOTAL,1000HAB,2.61,4841000,2018,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
OM,,,21,57,ICU,1000HAB,0.146,4666000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
OM,,,21,57,TOTAL,1000HAB,1.6,4027260,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PA,,,9,-80,TOTAL,1000HAB,2.3,3835437,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PE,,,-10,-76,TOTAL,1000HAB,1.6,30090359,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PG,,,-6,147,TOTAL,1000HAB,4.0242,4615839,1990,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PH,,,13,122,ICU,1000HAB,0.022,105200000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
PH,,,13,122,TOTAL,1000HAB,1,95570047,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PK,,,30,70,ICU,1000HAB,0.015,207900000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
PK,,,30,70,TOTAL,1000HAB,0.6,195306825,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PL,,,52,20,ACUTE,1000HAB,4.8514,37974826,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
PL,,,52,20,ICU,1000HAB,0.069,38060000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
PL,,,52,20,PSYCHIATRIC,1000HAB,0.65,37974826,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
PL,,,52,20,TOTAL,1000HAB,6.62,37974826,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
PR,,,18.25,-66.5,TOTAL,1000HAB,3.32,3724655,1996,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PS,,,32,35.25,TOTAL,1000HAB,1.2,2588000,1996,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
PT,,,39.5,-8,ACUTE,1000HAB,3.25,10300300,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
PT,,,39.5,-8,ICU,1000HAB,0.042,10570000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
PT,,,39.5,-8,PSYCHIATRIC,1000HAB,0.64,10300300,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
PT,,,39.5,-8,TOTAL,1000HAB,3.39,10300300,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
PW,,,7.5,134.5,TOTAL,1000HAB,4.8,17955,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
PY,,,-23,-58,TOTAL,1000HAB,1.3,6333976,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
QA,,,25.5,51.25,TOTAL,1000HAB,1.2,2459198,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
RO,,,46,25,ACUTE,1000HAB,5.2533,19587491,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
RO,,,46,25,ICU,1000HAB,0.214,20200000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
RO,,,46,25,TOTAL,1000HAB,6.3,19983693,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
RS,,,44,21,ACUTE,1000HAB,4.6412,7020858,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
RS,,,44,21,TOTAL,1000HAB,5.7,7199077,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
RU,,,60,100,TOTAL,1000HAB,8.05,144496740,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
RW,,,-2,30,TOTAL,1000HAB,1.6,9273757,2007,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SA,,,25,45,ICU,1000HAB,0.228,33100000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
SA,,,25,45,TOTAL,1000HAB,2.7,30916994,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SB,,,-8,159,TOTAL,1000HAB,1.4,556064,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SC,,,-4.58,55.67,TOTAL,1000HAB,3.6,87441,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SD,,,15,30,TOTAL,1000HAB,0.8,37072550,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SE,,,62,15,ACUTE,1000HAB,2.04,10057698,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SE,,,62,15,ICU,1000HAB,0.051056,10263164,2019,icuregswe.org,https://portal.icuregswe.org/seiva/en/Rapport
SE,,,62,15,PSYCHIATRIC,1000HAB,0.43,10057698,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SE,,,62,15,TOTAL,1000HAB,2.137969,10120628,2018,vardenisiffror.se,https://vardenisiffror.se/indikator?graphselected=barchart&metadatameasure=ab0dd634-b383-4233-8c79-16d968488e53&units=06&units=19&units=09&units=01&units=21&units=13&units=03&units=23&units=05&units=25&units=17&units=07&units=10&units=20&units=18&units=08&units=12&units=22&units=14&units=04&units=24&units=se
SG,,,1.3521,103.8198,ACUTE,1000HAB,1.9861,5700000,2019,data.gov.sg,https://data.gov.sg/dataset/health-facilities?view_id=91b4feed-dcb9-4720-8cb0-ac2f04b7efd0&resource_id=dee5ccce-4dfb-467f-bcb4-dc025b56b977
SG,,,1.3521,103.8198,ICU,1000HAB,0.114,5612000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
SG,,,1.3521,103.8198,PSYCHIATRIC,1000HAB,34.21,5700000,2019,data.gov.sg,https://data.gov.sg/dataset/health-facilities?view_id=91b4feed-dcb9-4720-8cb0-ac2f04b7efd0&resource_id=dee5ccce-4dfb-467f-bcb4-dc025b56b977
SG,,,1.3521,103.8198,TOTAL,1000HAB,2.6766,5700000,2019,data.gov.sg,https://data.gov.sg/dataset/health-facilities?view_id=91b4feed-dcb9-4720-8cb0-ac2f04b7efd0&resource_id=dee5ccce-4dfb-467f-bcb4-dc025b56b977
SI,,,46,15,ACUTE,1000HAB,4.2035,2066388,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
SI,,,46,15,ICU,1000HAB,0.064,2050000,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
SI,,,46,15,PSYCHIATRIC,1000HAB,0.66,2066388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SI,,,46,15,TOTAL,1000HAB,4.5,2066388,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SK,,,48.67,19.5,ACUTE,1000HAB,4.91,5439232,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SK,,,48.67,19.5,ICU,1000HAB,0.092,5404322,2011,icm-journal,https://link.springer.com/article/10.1007/s00134-012-2627-8
SK,,,48.67,19.5,PSYCHIATRIC,1000HAB,0.81,5439232,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SK,,,48.67,19.5,TOTAL,1000HAB,5.82,5439232,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
SL,,,8.5,-11.5,TOTAL,1000HAB,0.4,5829237,2006,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SM,,,43.77,12.42,TOTAL,1000HAB,3.8,32105,2012,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SN,,,14,-14,TOTAL,1000HAB,0.3,12004701,2008,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SO,,,10,49,TOTAL,1000HAB,0.9,13423576,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SR,,,4,-56,TOTAL,1000HAB,3.1,529131,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
ST,,,1,7,TOTAL,1000HAB,2.9,184524,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SV,,,13.83,-88.92,TOTAL,1000HAB,1.3,6295128,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SY,,,35,38,TOTAL,1000HAB,1.5,18715672,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
SZ,,,-26.5,31.5,TOTAL,1000HAB,2.1,1072000,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TD,,,15,19,TOTAL,1000HAB,0.4,10096633,2005,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TG,,,8,1.17,TOTAL,1000HAB,0.7,6595943,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TH,,,15,100,ICU,1000HAB,0.104,69210000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
TH,,,15,100,TOTAL,1000HAB,2.1,67195028,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TJ,,,39,71,TOTAL,1000HAB,4.8,8059769,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TL,,,8.8742,125.7275,TOTAL,1000HAB,5.9,1093523,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TM,,,40,60,TOTAL,1000HAB,7.4,5366375,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TN,,,34,9,TOTAL,1000HAB,2.3,11179949,2015,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TO,,,-20,-175,TOTAL,1000HAB,2.6,103986,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TR,,,39,35,ACUTE,1000HAB,2.7815,81101892,2017,eurostat,https://data.europa.eu/euodp/en/data/dataset/vswUL3c6yKoyahrvIRyew
TR,,,39,35,PSYCHIATRIC,1000HAB,0.05,81101892,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
TR,,,39,35,TOTAL,1000HAB,2.81,81101892,2017,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
TT,,,11,-61,TOTAL,1000HAB,3,1362342,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TV,,,-8,178,TOTAL,1000HAB,5.6,9484,2001,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
TW,,,23.5,121,ICU,1000HAB,0.285,23589000,2017,ccm-journal,https://www.researchgate.net/figure/Number-of-critical-care-beds-per-100-000-population_fig1_338520008
TZ,,,-6,35,TOTAL,1000HAB,0.7,44346525,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
UA,,,49,32,TOTAL,1000HAB,8.8,45489600,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
UG,,,1,32,TOTAL,1000HAB,0.5,32428167,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
US,,,38,-97,ACUTE,1000HAB,2.48764,328004407,2019,argis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,,,38,-97,ICU,1000HAB,0.302904,328004407,2019,argis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,,,38,-97,OTHER,1000HAB,0.242003,328004407,2019,argis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,,,38,-97,PSYCHIATRIC,1000HAB,0.21975,328004407,2019,argis,https://services1.arcgis.com/Hp6G80Pky0om7QvQ/arcgis/rest/services/Hospitals_1/FeatureServer/0
US,,,38,-97,TOTAL,1000HAB,2.77,322941311,2016,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
UY,,,-33,-56,TOTAL,1000HAB,2.8,3400434,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
UZ,,,41,64,TOTAL,1000HAB,4,30243200,2013,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
VC,,,13.25,-61.2,TOTAL,1000HAB,2.6,108861,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
VE,,,8,-66,TOTAL,1000HAB,0.8,30045134,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
VI,,,18.33,-64.83,TOTAL,1000HAB,18.68,108095,1996,world-bank,https://datahub.io/world-bank/sh.med.beds.zs
VN,,,16,106,TOTAL,1000HAB,2.6,91714595,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
VU,,,-16,167,TOTAL,1000HAB,1.7,224704,2008,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
WS,,,-13.58,-172.33,TOTAL,1000HAB,1,179727,2005,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
YE,,,15,48,TOTAL,1000HAB,0.7,25823485,2014,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
ZA,,,-29,24,TOTAL,1000HAB,2.32,51216964,2010,oecd,https://data.oecd.org/healtheqt/hospital-beds.htm
ZM,,,-15,30,TOTAL,1000HAB,2,13605984,2010,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
ZW,,,-20,30,TOTAL,1000HAB,1.7,12894316,2011,wdi,https://data.worldbank.org/indicator/SH.MED.BEDS.ZS
